Authors,Venue,Year,Title,Algorithm,Input Data,Algorithm Category,Coverage,Evaluation,Application,Further Tags
"Juliana Alves Pereira, Mathieu Acher, Hugo Martib, Jean-Marc Jezequel",ICPE,2020,"Sampling Effect on Performance Prediction of Configurable Systems: A Case Study","","","","","effectiveness, available tool, open-source tool, evaluation","non-functional properties","compares Coverage-based/Solver-based/Randomized solver-based/Distance-based/Diversified distance-based/Random, JS20"
" Sebastian Krieter,  Thomas Th&uuml;m,  Sandro Schulze,  Gunter Saake,  Thomas Leich",VaMoS,2020,"YASA: Yet Another Sampling Algorithm","YASA","feature model","greedy","t-wise coverage","sampling efficiency, testing efficiency, available tool, open-source tool, evaluation","testing","compared against Chvatal/ICPL/IncLing, JS20"
" Quentin Plazar,  Mathieu Acher,  Gilles Perrouin,  Xavier Devroey,  Maxime Cordy",ICST,2019,"Uniform Sampling of SAT Solutions for Configurable Systems: Are We There Yet?","","","","","sampling efficiency, effectiveness, available tool, open-source tool, evaluation","testing, non-functional properties","compares QuickSampler/UniGen, JS20"
" Axel Halin,  Alexandre Nuttinck,  Mathieu Acher,  Xavier Devroey,  Gilles Perrouin,  Benoit Baudry",Empirical Software Engineering,2019,"Test them all, is it worth it? Assessing configuration sampling on the JHipster Web development stack","","","","","testing efficiency, effectiveness, evaluation","testing, type checking","compares ICPL(SPLCAT)/one-disabled/one-enabled/most-enabled-disabled/dissimilarity(PLEDGE)/random, JS20"
" Christian Kaltenecker,  Alexander Grebhahn,  Norbert Siegmund,  Jianmei Guo,  Sven Apel",ICSE,2019,"Distance-Based Sampling of Software Configuration Spaces","Distance-Based Search","feature model","population-based search","","effectiveness, available tool, open-source tool, evaluation","non-functional properties","semi-automatic search, compares Distance-Based Search/random sampling/higher-order heuristic/hot-spot heuristic, SPLConqueror, Z3, JS20"
" Jeho Oh,  Paul Gazzillo,  Don Batory",SPLC,2019,"t-wise Coverage by Uniform Sampling","","","","","sampling efficiency, testing efficiency, effectiveness, available tool, open-source tool, evaluation","testing","submission to PTR+:SPLC19, JS20"
" Jeho Oh,  Paul Gazzillo,  Don Batory,  Marijn Heule,  Maggie Myers",(techreport),2019,"Uniform Sampling from Kconfig Feature Models","Smarch","feature model","local search","no coverage guarantee","sampling efficiency, effectiveness, available tool, open-source tool, evaluation","non-functional properties","JS20"
" Daniel-Jesus Munoz,  Jeho Oh,  Monica Pinto,  Lidia Fuentes,  Don Batory",SPLC,2019,"Uniform Random Sampling Product Configurations of Feature Models That Have Numerical Features","Smarch+BBPF","feature model","local search","no coverage guarantee","sampling efficiency, available tool, open-source tool, evaluation","non-functional properties","JS20"
" Lars Luthmann,  Timo Gerecht,  Malte Lochau",STTT,2019,"Sampling Strategies for Product Lines with Unbounded Parametric Real-Time Constraints","minimum/maximum-delay testing","feature model, test artifacts","greedy","specification coverage","sampling efficiency, testing efficiency, available tool, evaluation","non-functional properties","IMITATOR, usage of CoPTA/Uppaal/Z3, ILP, SMT, featured timed automata, infinite configuration space"
" Tobias Pett,  Thomas Th&uuml;m,  Tobias Runge,  Sebastian Krieter,  Malte Lochau,  Ina Schaefer",SPLC,2019,"Product Sampling for Product Lines: The Scalability Challenge","","feature model","","t-wise coverage","sampling efficiency, testing efficiency, effectiveness","testing","challenge"
" Mustafa Al-Hajjaji,  Thomas Th&uuml;m,  Malte Lochau,  Jens Meinicke,  Gunter Saake",SoSyM,2019,"Effective Product-Line Testing Using Similarity-Based Product Prioritization","","","","","sampling efficiency, testing efficiency, available tool, open-source tool, evaluation","testing","usage of random sampling/CASA/Chvatal/ICPL, SPLC18"
" Sebastian Ruland,  Lars Luthmann,  Johannes B&uuml;rdek,  Sascha Lity,  Thomas Th&uuml;m,  Malte Lochau,  Marcio Ribeiro",GPCE,2018,"Measuring Effectiveness of Sample-Based Product-Line Testing","","","","","testing efficiency, effectiveness, available tool, open-source tool, evaluation","testing","usage of MiLu/CPAchecker/CPATiger/FeatureIDE/ICPL/SiMPOSE"
" Jianmei Guo,  Dingyu Yang,  Norbert Siegmund,  Sven Apel,  Atrisha Sarkar,  Pavel Valov,  Krzysztof Czarnecki,  Andrzej Wasowski,  Huiqun Yu",EMSE,2018,"Data-Efficient Performance Learning for Configurable Systems","random sampling","feature model","greedy","no coverage guarantee","testing efficiency, open-source tool, evaluation","non-functional properties","DECART, SPLC18"
" Iago Abal,  Jean Melo,  Stefan Stanciulescu,  Claus Brabrand,  Marcio Ribeiro,  Andrzej Wasowski",TOSEM,2018,"Variability Bugs in Highly Configurable Systems: A Qualitative Analysis","one-disabled","feature model","greedy","no coverage guarantee","testing efficiency, effectiveness, evaluation","testing","evaluated with real faults, SPLC18"
" Jeho Oh,  Don Batory,  Margaret Myers,  Norbert Siegmund",FSE,2017,"Finding Near-Optimal Configurations in Product Lines by Random Sampling","NRS","feature model","local search","","effectiveness, unavailable tool, evaluation","non-functional properties","JS20"
" Jeho Oh,  Don Batory,  Margaret Myers,  Norbert Siegmund",FSE,2017,"Finding Near-Optimal Configurations in Product Lines by Random Sampling","SRS","feature model","local search","","effectiveness, unavailable tool, evaluation","non-functional properties","JS20"
" Thiago N. Ferreira,  Jackson A. Prado Lima,  Andrei Strickler,  Josiel N. Kuk,  Silvia R. Vergilio,  Aurora Pozo",CIM,2017,"Hyper-Heuristic Based Product Selection for Software Product Line Testing","SPEA2-HH/IBEA-HH","feature model","population-based search","no coverage guarantee","sampling efficiency, effectiveness, unavailable tool, evaluation","testing","compared to MOEA/D-DRA/NSGA-II, usage of CombTestWeb/FMTS/FaMa, feature-model mutation, SPLC18"
" Axel Halin,  Alexandre Nuttinck,  Mathieu Acher,  Xavier Devroey,  Gilles Perrouin,  Benoit Baudry",(techreport),2017,"Test Them All, Is It worth It? A Ground Truth Comparison of Configuration Sampling Strategies","","","","","testing efficiency, effectiveness, evaluation","testing, type checking","evaluation of ICPL/one-disabled/all-one-disabled/one-enabled/all-one-enabled/most-enabled-disabled/similarity heuristic/random sampling, SPLC18, subsumed by HNA+:ESE19"
